target,file,offset,MKDX English Mod 2023
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_024.dds,23043904,f8ef2ebf2facd0970362736d349afd85
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_025.dds,24004032,2af784ba064c17a923afe6cbecc258ee
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_026.dds,24964160,b5605df4848f62719109443c8a0dd4bc
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_027.dds,25924288,0b3f15c1443a396900fd8e6e0e770ff1
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_028.dds,26884416,3ff876913713380229b51bf440f42071
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_029.dds,27844544,4a9b9941f770e79a49d7a07f72388d2b
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_030.dds,28804672,d4d0477f8845d070cf3675bcbef9a89d
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_031.dds,29764800,20fe663f2d74193d7cb74931ee8ca19d
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_032.dds,30724928,4461e50333bfe8b575549bbfaebe4b9e
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_033.dds,31685056,0802f320c666e593dea88c5a8bcb4b37
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_034.dds,32645184,02d53a63bc8817017d092af7eec61901
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_035.dds,33605312,957daafb6b9c25f8ac22ee692162cb9e
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_036.dds,34565440,1e7aa08c1f756785316e50fefa82939c
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_037.dds,35525568,d226f36b0e6e5463516dd3cdd481d0b3
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_038.dds,36485696,9b04a5d331ae5d3fd230d2bb109c31f7
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_039.dds,37445824,19532cc36116a7506567db5281fc67b3
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_040.dds,38405952,7f7be8e2c132713e8879fba4c0ce54d7
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_041.dds,39366080,08881aa27db527c706eb2772f5b9493b
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_042.dds,40326208,f2c33c055db597eef099d741c1d7286c
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_043.dds,41286336,0dd56f252bef502cf8d87a3a081bfca7
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_044.dds,42246464,ae7b6cada2def0ee7710658f6e991264
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_045.dds,43206592,39bb0a594cbbbd9404aef124370ad4c4
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_046.dds,44166720,a0e3bbcc3b0c15c4267ca22ea5294f29
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_047.dds,45126848,b8c7f816cf21f3a1ec30b51cb3aee179
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_048.dds,46086976,4bf38a06a437515786b5f1b381471632
Data\flash\data_jp\common_tex\tex\area_name_area.pac,common_tex-tex-area_name_area.pac\AREA_NAME_L_049.dds,47047104,be73d5e49971175a274a44815695465a
Data\flash\data_jp\common_tex\tex\area_name_block.pac,common_tex-tex-area_name_block.pac\BLOCK_NAME_L_00.dds,192,0d9a01786e356a40f9983c7edc796f47
Data\flash\data_jp\common_tex\tex\area_name_block.pac,common_tex-tex-area_name_block.pac\BLOCK_NAME_L_01.dds,1229120,01eaa6bf982a73cfaeb65ea75d3695d2
Data\flash\data_jp\common_tex\tex\area_name_block.pac,common_tex-tex-area_name_block.pac\BLOCK_NAME_L_02.dds,2458048,87a93bf2acc26ed07320b356661ecbc1
Data\flash\data_jp\common_tex\tex\area_name_block.pac,common_tex-tex-area_name_block.pac\BLOCK_NAME_L_03.dds,3686976,219b2c43362b4ae3b51a6616f9770c06
Data\flash\data_jp\common_tex\tex\area_name_block.pac,common_tex-tex-area_name_block.pac\BLOCK_NAME_L_04.dds,4915904,901d4aaa2fc73f3f1dfba6a557cb7d64
Data\flash\data_jp\common_tex\tex\area_name_block.pac,common_tex-tex-area_name_block.pac\BLOCK_NAME_L_05.dds,6144832,1aaeebf7b0296c10786147916aef314f
Data\flash\data_jp\common_tex\tex\area_name_block.pac,common_tex-tex-area_name_block.pac\BLOCK_NAME_L_06.dds,7373760,0689bd5cc06d21860a267f58433f9869
Data\flash\data_jp\common_tex\tex\area_name_block.pac,common_tex-tex-area_name_block.pac\BLOCK_NAME_L_07.dds,8602688,cc1a763eca747f22841e91bb1e0b8822
Data\flash\data_jp\common_tex\tex\area_name_block.pac,common_tex-tex-area_name_block.pac\BLOCK_NAME_L_08.dds,9831616,4557bbcdd732f7f474836d61f1b84091
Data\flash\data_jp\common_tex\tex\area_name_block.pac,common_tex-tex-area_name_block.pac\BLOCK_NAME_L_09.dds,11060544,a16bf74f49231b54a7ebb3fd6819964c
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_000.dds,832,03230148a68b05eb08a66662cca80439
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_001.dds,194560,c7b614926c461a260c254b6967af6cd1
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_002.dds,388288,f1834be2f31b7f89311230547e1728e2
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_003.dds,582016,6919cf88967db112843aba75eaca7859
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_004.dds,775744,7f56d1af7c5079e9bdf9062df1ca6818
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_005.dds,969472,470400b2a76389855aa656f44b4edddb
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_006.dds,1163200,5e4257d4d76c29133936635514b056e0
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_007.dds,1356928,a5bb0f3b3b72e7e98cffddb709afbcdb
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_008.dds,1550656,7a06f4795e02befe0e4ca04b9025d2ab
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_009.dds,1744384,9ea47174e4045e5dda04cbadfea795bc
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_010.dds,1938112,619f969551082c499bde01a349a588fe
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_011.dds,2131840,bac5fd145cbd4cb28b80629d06e3b43f
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_012.dds,2325568,58237979cd41fbeb34aaf0712b55874d
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_013.dds,2519296,a983be171926dcc1fa949dc81f276022
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_014.dds,2713024,747e3c96b6674c1a49f44f20f583cba9
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_015.dds,2906752,e5e57d0c7776d1035c051b53270c1c24
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_016.dds,3100480,773cdd2683c9d8efecdb2970dbdee28f
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_017.dds,3294208,59ce3cca73710fc17960a9281cd497fd
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_018.dds,3487936,d3d015923dab66ea991c5e3e4d09b577
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_019.dds,3681664,54ba938eb76506a20531eae97c78a5a5
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_020.dds,3875392,05553e13a1d40882c08f8536409ead3e
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_021.dds,4069120,858897ef26011d0cf9a56db884114e36
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_022.dds,4262848,5af69a5e7377a6424aeb4065b47503a8
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_023.dds,4456576,5cbac691de0afcbf5bc57fba4d1aadb6
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_024.dds,4650304,4f73c6769ba501a222d93414e468c5cd
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_025.dds,4844032,edf97644bfe4b9cf72c23d15aa0732e0
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_026.dds,5037760,c4c2152306f07e1a9325ad79276249fd
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_027.dds,5231488,fa00363bc4143569d635b69990bc052a
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_028.dds,5425216,832906bd35edbe5b4c2d0bfb9655506e
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_029.dds,5618944,07cb54767593b1906de86d12b0dc435d
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_030.dds,5812672,f6be6ae4bf7092fb38b9c5b311d9d2a0
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_031.dds,6006400,0441b4a07b0ebc922120cc30bd6a69c8
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_032.dds,6200128,dcbed5ec345cd0de6530ff6df69dc546
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_033.dds,6393856,ad194ca9ac3ae5c0ac28c61ec030f309
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_034.dds,6587584,6bb40f55d699eb81f56ef3d56a30e423
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_035.dds,6781312,66ecc89193ce80ec95d24c7d4246c2fb
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_036.dds,6975040,7224b8f753a20a448078e30de70d1415
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_037.dds,7168768,c7123342dd3dd0d3168cd74bbe29b534
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_038.dds,7362496,43a1a62e33f80dcd31c4e98ae2d53ad3
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_039.dds,7556224,48d624302fce232035bb28852bc2f7c5
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_040.dds,7749952,806f4d0e3461ff761558039de5383297
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_041.dds,7943680,18313d265d4fc4a87c8472b129190299
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_042.dds,8137408,f389da1603ad6996804f1e3dd9128c22
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_043.dds,8331136,39c3ec497b126bf869429b61b839c292
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_044.dds,8524864,7785d22d519e33682fd0cf5aee4f6ca4
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_045.dds,8718592,287cfe414cdf741cc1176adfee3146d4
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_046.dds,8912320,fe3ad60bc6e173411b91463efe34b72b
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_047.dds,9106048,d420b722fb53aafe7e19cfd08c5f7f8e
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_048.dds,9299776,9d45de2c0d1c89963e3b584448bbf30f
Data\flash\data_jp\common_tex\tex\area_pie_area_nomal.pac,common_tex-tex-area_pie_area_nomal.pac\AREA_MAP_PIE_N_049.dds,9493504,066cf76a45ad8e685579ba38e6978928
Data\flash\data_jp\common_tex\tex\bun_tips.pac,common_tex-tex-bun_tips.pac\BUN_TIPS_000.dds,128,585c8ffeca8c96481bc3d81c847ec04a
Data\flash\data_jp\common_tex\tex\bun_tips.pac,common_tex-tex-bun_tips.pac\BUN_TIPS_001.dds,3450496,5b88c59a86fba0689faa98609be98e4b
Data\flash\data_jp\common_tex\tex\bun_tips.pac,common_tex-tex-bun_tips.pac\BUN_TIPS_002.dds,6900864,b7313cc4cc5586e42ac2ef1168554fee
Data\flash\data_jp\common_tex\tex\bun_tips.pac,common_tex-tex-bun_tips.pac\BUN_TIPS_003.dds,10351232,ec8a365b057030121d81860dea98b6c6
Data\flash\data_jp\common_tex\tex\bun_tips.pac,common_tex-tex-bun_tips.pac\BUN_TIPS_004.dds,13801600,151302604bfb905880c68190e19cb305
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_000.dds,1600,8d274fe59ee8be94077ce427e7334132
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_100.dds,5288384,d72ef8d2f092111699cdd8a28ffbd35d
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_101.dds,5534272,c8421e231c687a083bc772fd8fc222b8
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_102.dds,5780160,a390f01bf577469198039c13227d6a12
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_103.dds,6026048,952ac586e1360138a6b78e9e97cefde6
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_104.dds,6271936,f709e9dda30ff199492b5c7f0700bb86
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_105.dds,6517824,61bf97077702f6ce8a2356224d1c19a8
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_106.dds,6763712,18842f54f36dc294dc1ee5bd29464c8d
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_107.dds,7009600,5bd5bfba73699cf6d0525461acda9fef
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_108.dds,7255488,480733ce7979dcc2acfec8c2ffb2c097
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_109.dds,7501376,156690149b3d146a33600159d5848d8c
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_110.dds,7747264,ecba602f13af271bfa7e3689502b8b77
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_111.dds,7993152,402e0edc8f8129a838cd551191173aa3
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_112.dds,8239040,d447855126645bbdc9321cadac487e10
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_113.dds,8484928,92a7971a2d043b6cf765415abc053f35
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_114.dds,8730816,7b891635fcf05aa23b6f311e9dfa3f84
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_115.dds,8976704,a7ed900f57c69a75589d5bc0ebe68fcf
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_116.dds,9222592,24b034dfd6f602a585e852591343d860
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_117.dds,9468480,0b741d32ef4333cba5cea197ae383632
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_118.dds,9714368,b5dcd867658a358eb4999c1d211d40de
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_119.dds,9960256,94a9afd9829a0079fdbc8f00a0c05c5f
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_120.dds,10206144,e66979df912ed5bdda59f91672a1f509
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_121.dds,10452032,52a49bb927c4d157651cae80ea08879b
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_122.dds,10697920,d8590639283197f31fa5a7f7afef9991
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_123.dds,10943808,8825846073c148e331271b27cdf429b3
Data\flash\data_jp\common_tex\tex\cart_name_p00.pac,common_tex-tex-cart_name_p00.pac\CART_N_P00_124.dds,11189696,7e765b86a438daa526174211247cc88c
